,weight,age,height
28059,62,31.0,162.56
19354,65,26.0,180.34
108216,77,41.0,170.18
67013,61,45.0,167.64
30294,44,22.0,149.86
99786,70,28.0,172.72
47392,63,43.0,175.26
79988,68,51.0,172.72
74532,59,33.0,172.72
55237,61,33.0,172.72
11275,63,31.0,170.18
65807,54,29.0,162.56
69556,61,31.0,165.1
28272,60,70.0,170.18
2156,58,33.0,162.56
61036,54,38.0,160.02
99262,56,25.0,170.18
97079,68,30.0,175.26
25645,49,32.0,170.18
87932,54,29.0,170.18
87304,61,40.0,172.72
58856,72,29.0,165.1
112841,52,72.0,157.48
104157,53,58.0,172.72
46583,63,30.0,172.72
7969,56,28.0,160.02
807,56,29.0,170.18
90687,49,24.0,167.64
110232,56,30.0,172.72
8353,63,24.0,165.1
58005,58,24.0,167.64
84175,61,30.0,162.56
27272,61,35.0,157.48
15382,61,29.0,165.1
32498,58,35.0,162.56
105236,70,45.0,185.42
28082,47,36.0,170.18
61947,54,53.0,165.1
25240,58,35.0,167.64
91006,58,32.0,160.02
91457,70,46.0,165.1
104565,49,20.0,152.4
23561,54,34.0,162.56
119288,58,30.0,160.02
26914,54,29.0,165.1
47112,63,42.0,177.8
104518,58,35.0,160.02
5906,72,29.0,175.26
103290,47,46.0,157.48
23853,65,37.0,160.02
119047,63,34.0,167.64
13064,61,29.0,154.94
78625,58,54.0,167.64
37219,67,37.0,170.18
91377,58,57.0,170.18
42661,52,19.0,167.64
30429,72,38.0,177.8
89662,79,28.0,162.56
119626,61,21.0,165.1
27718,61,30.0,157.48
54187,65,37.0,162.56
1127,58,31.0,167.64
111938,56,36.0,165.1
19595,52,40.0,160.02
88111,54,28.0,170.18
4008,68,45.0,167.64
84828,65,28.0,170.18
83070,65,35.0,177.8
53702,56,43.0,160.02
48717,61,30.0,162.56
77755,49,30.0,167.64
99282,62,33.0,167.64
36300,47,27.0,157.48
66978,74,35.0,165.1
79069,79,27.0,165.1
20122,53,29.0,165.1
82970,61,41.0,170.18
7777,52,32.0,160.02
103604,55,47.0,157.48
45549,52,48.0,157.48
30794,54,24.0,160.02
502,52,50.0,162.56
22483,62,30.0,170.18
59059,63,29.0,165.1
3847,72,26.0,167.64
63927,57,33.0,165.1
68000,68,28.0,170.18
3921,61,34.0,167.64
14595,74,34.0,170.18
94019,66,34.0,175.26
58354,61,30.0,167.64
92241,78,34.0,167.64
103600,58,25.0,162.56
10722,47,53.0,165.1
119578,50,31.0,157.48
21448,81,21.0,165.1
46502,57,32.0,162.56
81652,63,36.0,157.48
92868,56,34.0,170.18
86958,65,62.0,165.1
32103,54,23.0,167.64
83618,56,32.0,157.48
98177,68,41.0,157.48
55701,58,35.0,172.72
35637,63,37.0,160.02
92104,61,30.0,167.64
60300,52,45.0,152.4
115603,68,28.0,175.26
33922,58,60.0,162.56
79555,60,35.0,157.48
18659,54,27.0,160.02
5233,51,60.0,152.4
4992,55,26.0,170.18
107806,58,36.0,157.48
14097,60,27.0,162.56
36088,74,27.0,172.72
87947,56,29.0,167.64
83738,56,32.0,172.72
73579,54,30.0,154.94
71886,65,33.0,170.18
98258,54,33.0,165.1
31447,57,32.0,162.56
53698,77,23.0,177.8
105068,58,26.0,170.18
117852,54,32.0,162.56
73346,56,32.0,165.1
69674,58,31.0,162.56
5989,90,32.0,170.18
35075,54,31.0,162.56
59148,63,31.0,170.18
38574,56,36.0,157.48
34221,52,46.0,167.64
102398,68,36.0,180.34
4400,54,24.0,170.18
40297,49,57.0,165.1
115491,52,42.0,162.56
57280,58,26.0,170.18
104669,65,35.0,172.72
67978,49,36.0,157.48
32074,72,36.0,182.88
94690,57,49.0,165.1
20745,53,41.0,162.56
6144,54,31.0,157.48
88053,54,28.0,162.56
39533,62,40.0,170.18
34915,65,29.0,167.64
118608,53,62.0,162.56
107641,61,33.0,175.26
118933,63,29.0,165.1
37205,61,31.0,167.64
119390,54,33.0,162.56
87009,55,27.0,157.48
104104,56,31.0,165.1
48199,54,32.0,170.18
85936,61,37.0,154.94
44830,65,35.0,162.56
107475,83,41.0,170.18
1146,53,21.0,170.18
112113,60,46.0,162.56
87643,58,28.0,165.1
117587,90,32.0,170.18
68039,63,29.0,172.72
17130,65,45.0,162.56
92050,68,32.0,160.02
31380,70,20.0,175.26
116590,61,48.0,170.18
76599,99,27.0,175.26
36279,61,35.0,170.18
37283,68,44.0,172.72
66693,58,27.0,160.02
111234,56,44.0,154.94
38529,88,41.0,172.72
103993,68,35.0,160.02
94857,57,49.0,165.1
12213,49,35.0,162.56
26978,79,26.0,154.94
24642,58,26.0,170.18
83639,65,43.0,175.26
28938,54,27.0,175.26
82160,63,33.0,172.72
28873,59,36.0,167.64
57999,58,29.0,177.8
55940,58,40.0,157.48
117309,60,62.0,154.94
68878,54,33.0,170.18
42260,68,34.0,170.18
100664,60,46.0,165.1
1724,63,29.0,160.02
61712,63,33.0,165.1
47468,58,29.0,172.72
23875,53,31.0,165.1
12039,49,36.0,152.4
8095,58,34.0,160.02
111665,60,35.0,167.64
74272,63,28.0,167.64
105622,58,21.0,162.56
27682,70,47.0,177.8
110492,62,39.0,170.18
70702,57,26.0,167.64
30989,47,35.0,157.48
90366,70,30.0,172.72
28813,56,26.0,170.18
117828,47,36.0,170.18
9829,58,28.0,167.64
27652,52,30.0,170.18
21442,74,46.0,165.1
107742,63,27.0,160.02
53921,70,33.0,170.18
6314,61,26.0,165.1
65806,61,25.0,160.02
57585,53,30.0,162.56
76696,64,27.0,157.48
31688,79,27.0,170.18
41487,63,31.0,167.64
65599,59,31.0,170.18
108600,74,29.0,160.02
53004,61,46.0,165.1
35632,62,52.0,177.8
72568,44,39.0,162.56
53234,86,33.0,175.26
28645,53,48.0,162.56
98500,72,40.0,154.94
111584,61,36.0,165.1
26299,48,32.0,162.56
85976,68,39.0,175.26
98009,58,31.0,154.94
108257,48,31.0,152.4
51239,70,37.0,172.72
76677,62,30.0,170.18
99841,62,30.0,167.64
116820,90,63.0,157.48
110349,56,38.0,167.64
81102,68,28.0,162.56
15884,65,29.0,170.18
33427,61,28.0,175.26
77462,54,47.0,160.02
24156,63,29.0,170.18
23692,56,20.0,170.18
61617,50,31.0,162.56
49685,70,32.0,165.1
101660,58,32.0,172.72
104111,65,29.0,180.34
105928,56,38.0,154.94
40390,61,32.0,160.02
45359,52,42.0,160.02
89647,58,31.0,162.56
45770,56,30.0,165.1
76624,65,43.0,165.1
57501,52,25.0,167.64
40577,49,29.0,160.02
12212,61,28.0,162.56
106574,55,41.0,167.64
63910,51,28.0,154.94
117650,53,28.0,160.02
10899,54,46.0,157.48
89110,68,29.0,167.64
87696,56,29.0,160.02
101953,90,29.0,160.02
22265,57,36.0,170.18
37886,72,26.0,170.18
77407,58,49.0,160.02
94196,62,33.0,165.1
37586,56,28.0,165.1
96142,56,40.0,170.18
47732,52,38.0,165.1
15690,68,31.0,162.56
3008,61,22.0,172.72
38042,61,37.0,162.56
72665,61,33.0,177.8
22598,65,34.0,165.1
38535,53,21.0,165.1
2258,52,35.0,152.4
83713,61,30.0,162.56
36138,65,42.0,177.8
43286,63,27.0,167.64
110198,58,42.0,165.1
64022,62,36.0,172.72
109947,74,36.0,160.02
84968,54,36.0,162.56
48826,61,29.0,172.72
104974,62,36.0,167.64
107116,58,34.0,162.56
71710,54,29.0,165.1
26880,45,28.0,157.48
107252,56,64.0,157.48
64196,58,25.0,172.72
6604,56,30.0,162.56
36284,61,31.0,170.18
61602,54,43.0,162.56
65243,68,35.0,182.88
50263,58,65.0,162.56
56811,52,28.0,160.02
117000,56,36.0,170.18
53273,64,26.0,177.8
41978,72,31.0,170.18
109047,63,36.0,167.64
44140,56,33.0,162.56
53430,65,32.0,177.8
113024,86,50.0,160.02
44325,56,35.0,162.56
103908,54,28.0,170.18
81666,62,35.0,160.02
90813,54,28.0,160.02
4902,58,39.0,165.1
113307,65,34.0,170.18
111658,70,39.0,172.72
82528,50,32.0,165.1
36929,83,45.0,167.64
96691,58,32.0,160.02
63196,52,30.0,157.48
44004,68,45.0,165.1
20547,62,29.0,162.56
3452,61,27.0,167.64
95308,56,24.0,167.64
16035,61,39.0,167.64
111607,79,31.0,170.18
55874,63,32.0,187.96
71630,65,27.0,172.72
102528,58,36.0,167.64
85550,58,41.0,160.02
50224,68,35.0,167.64
8602,56,48.0,172.72
93514,63,36.0,172.72
19665,68,36.0,167.64
9443,52,35.0,167.64
52248,52,20.0,165.1
17291,59,34.0,167.64
116512,58,27.0,162.56
56763,61,39.0,170.18
11090,53,35.0,160.02
92075,63,19.0,160.02
114935,63,45.0,162.56
65386,72,23.0,180.34
71384,53,39.0,157.48
84804,68,26.0,165.1
86218,81,38.0,165.1
80421,56,25.0,170.18
74503,54,25.0,162.56
103015,58,37.0,170.18
18534,54,43.0,157.48
25185,72,19.0,175.26
14964,63,22.0,172.72
50544,55,29.0,162.56
35927,70,31.0,157.48
32016,63,32.0,165.1
62175,61,28.0,175.26
91892,50,28.0,160.02
17576,58,32.0,162.56
50063,52,55.0,157.48
13915,77,46.0,167.64
35148,54,28.0,160.02
48372,58,33.0,170.18
22878,61,33.0,170.18
74024,61,36.0,157.48
1182,61,30.0,165.1
593,72,43.0,170.18
101792,52,27.0,167.64
58076,49,32.0,157.48
84853,61,44.0,165.1
119505,60,26.0,162.56
110214,65,38.0,172.72
97969,56,25.0,162.56
65868,63,42.0,165.1
104223,49,42.0,162.56
24586,51,68.0,165.1
10636,61,31.0,167.64
118582,79,39.0,177.8
20447,97,34.0,167.64
42230,67,38.0,165.1
119175,59,33.0,160.02
66320,62,30.0,172.72
50739,48,48.0,157.48
25501,51,41.0,170.18
2952,70,23.0,160.02
80351,63,51.0,170.18
113830,73,42.0,170.18
52637,65,62.0,172.72
13614,63,36.0,160.02
45789,45,27.0,152.4
80807,54,29.0,162.56
36217,72,26.0,167.64
81497,53,28.0,162.56
33693,52,46.0,167.64
24656,95,33.0,175.26
38569,81,33.0,165.1
60354,70,37.0,172.72
100275,122,37.0,162.56
106014,54,29.0,165.1
26436,68,36.0,177.8
76312,68,33.0,167.64
57973,59,38.0,162.56
85943,65,57.0,177.8
89643,68,27.0,177.8
113234,51,26.0,167.64
112124,72,31.0,175.26
54734,77,38.0,165.1
93988,72,47.0,177.8
26497,54,28.0,157.48
89294,63,43.0,162.56
99168,52,36.0,162.56
8453,61,33.0,175.26
747,61,32.0,170.18
42848,58,30.0,162.56
74886,74,42.0,170.18
18822,61,31.0,167.64
75021,51,34.0,154.94
109806,68,31.0,162.56
54668,59,30.0,167.64
87413,58,36.0,160.02
52656,49,28.0,154.94
47425,70,28.0,175.26
42967,61,39.0,165.1
12501,65,31.0,172.72
111,63,31.0,175.26
94321,61,33.0,162.56
87752,65,33.0,177.8
9126,68,34.0,172.72
93076,82,53.0,167.64
64177,57,21.0,162.56
119224,56,35.0,160.02
47514,68,48.0,172.72
24363,53,25.0,154.94
94515,74,36.0,165.1
34391,63,33.0,170.18
87499,50,35.0,160.02
57531,64,41.0,175.26
115899,63,25.0,177.8
35379,56,30.0,170.18
27524,68,35.0,162.56
82234,61,42.0,157.48
74475,63,34.0,165.1
78189,58,37.0,167.64
111021,86,56.0,160.02
35250,56,33.0,157.48
72189,49,37.0,157.48
12814,52,31.0,162.56
78012,68,42.0,167.64
71385,54,29.0,165.1
3113,49,29.0,149.86
58688,68,26.0,157.48
101713,61,31.0,170.18
29354,65,30.0,160.02
106654,70,45.0,165.1
91389,68,44.0,175.26
72137,53,30.0,162.56
74477,63,27.0,160.02
81827,56,29.0,162.56
90662,54,28.0,165.1
556,54,28.0,167.64
94464,61,43.0,165.1
81917,47,29.0,162.56
94851,77,35.0,172.72
109895,63,35.0,167.64
100523,83,33.0,170.18
14878,58,38.0,154.94
55151,52,29.0,170.18
5544,52,29.0,152.4
49442,56,55.0,165.1
28001,63,41.0,162.56
28014,49,38.0,149.86
73381,56,30.0,162.56
97178,72,33.0,154.94
37423,56,29.0,165.1
20115,61,34.0,170.18
87347,45,33.0,162.56
100194,54,42.0,157.48
115469,88,31.0,167.64
70058,61,30.0,180.34
55867,61,27.0,160.02
87844,58,29.0,165.1
91903,65,26.0,172.72
97397,63,31.0,165.1
59984,53,33.0,154.94
52968,54,27.0,172.72
108396,55,29.0,170.18
21175,60,38.0,160.02
2990,67,28.0,170.18
16355,63,37.0,160.02
81017,52,33.0,165.1
97901,48,51.0,157.48
57603,58,30.0,170.18
110137,58,32.0,172.72
65886,54,41.0,162.56
27056,63,30.0,170.18
48677,58,35.0,157.48
86459,52,26.0,162.56
56065,81,31.0,165.1
48377,76,63.0,162.56
54167,66,34.0,162.56
114447,57,36.0,175.26
102223,54,29.0,165.1
36875,63,28.0,172.72
77754,55,35.0,162.56
26703,61,24.0,160.02
108211,63,28.0,175.26
4765,74,46.0,172.72
83624,43,32.0,157.48
95353,72,29.0,170.18
89111,65,30.0,165.1
46859,61,34.0,165.1
34673,53,32.0,160.02
32098,56,40.0,172.72
74284,53,26.0,167.64
29211,61,65.0,162.56
51077,54,35.0,165.1
89558,106,30.0,160.02
85087,90,33.0,170.18
101317,53,30.0,160.02
14219,58,48.0,167.64
96255,58,33.0,167.64
61750,56,31.0,165.1
51490,56,38.0,170.18
1185,55,39.0,157.48
116019,63,25.0,165.1
66767,95,33.0,165.1
18604,77,44.0,165.1
117910,67,35.0,172.72
30885,48,32.0,167.64
63254,65,42.0,162.56
90386,51,48.0,170.18
94337,69,24.0,162.56
94184,56,34.0,157.48
92668,53,34.0,160.02
77562,58,27.0,167.64
22452,58,33.0,172.72
